gdp_USD,gdp_per_capita,gdp_per_hour
16048981789.00 ,372.62,0.45
14319829482.00 ,5155.29,2.69
109000000000.00 ,2385.12,2.59
649000000000.00 ,12940.74,15.04
14238626095.00 ,5116.21,2.77
422000000000.00 ,46697.86,32.86
12456174967.00 ,29477.24,20.89
365000000000.00 ,1785.36,1.17
57270177382.00 ,6206.65,3.93
516000000000.00 ,44198.2,30.62
2509307581.00 ,6191.66,4.34
16753221226.00 ,1255.61,1.03
2588733771.00 ,3336.38,1.93
38319728286.00 ,3134.77,2.16
20253847565.00 ,7569,3.22
17510051388.00 ,6641.57,4.57
1900000000000.00 ,8822.05,5.44
13000439529.00 ,28954.06,15.08
61691793244.00 ,9550.94,5.22
16534846693.00 ,736,0.56
3490124044.00 ,262.18,0.22
2159882068.00 ,3551.25,2.18
24971817549.00 ,1488.81,0.82
1750000000000.00 ,45227.14,30.12
282000000000.00 ,14235.36,8.03
355000000000.00 ,6836.23,3.71
1239912861.00 ,1362.78,1.2
10244291189.00 ,1704.27,0.11
306285448.50 ,17033,13.75
69286276848.00 ,13424.46,7.33
63412566373.00 ,16712.04,9.22
27893343345.00 ,30556.72,18.91
216000000000.00 ,20237.29,12.69
68385681247.00 ,2399.7,1.65
356000000000.00 ,60345.56,42.46
98037480685.00 ,8732.08,5.65
101000000000.00 ,6087.54,3.47
461000000000.00 ,4088.9,2.74
27096718971.00 ,4310.91,2.38
28507450259.00 ,21141,13.73
4748702401.00 ,4012.94,2.51
102000000000.00 ,857.35,0.79
261000000000.00 ,46655.17,32.31
2640000000000.00 ,38816.48,26.69
1863264133.00 ,688.65,0.54
20138737945.00 ,5736.3,2.98
3630000000000.00 ,43361.18,29.07
68868093363.00 ,2046.01,1.72
211000000000.00 ,20287.73,11.95
1062933420.00 ,8766.93,7.01
1438506384.00 ,736.93,0.58
14268000638.00 ,17646.22,10.93
13828677969.00 ,1247.89,0.71
25953927711.00 ,2489.6,1.64
158000000000.00 ,16345.31,9.8
21556161805.00 ,57816.36,40.84
3020000000000.00 ,2098.22,1.16
1120000000000.00 ,4073.56,2.49
498000000000.00 ,5507.53,3.4
193000000000.00 ,4357.87,4.5
499000000000.00 ,97316.88,67.73
408000000000.00 ,42710.78,30.35
1960000000000.00 ,33364.11,21.2
14674810247.00 ,5236.79,3.24
43119748442.00 ,3891.21,2.18
94828625235.00 ,1754.59,1.32
187463900.30 ,1942.7,1.29
8321652605.00 ,4666.42,2.69
8243822708.00 ,1212.23,0.85
20584824411.00 ,2599.2,1.68
32089476433.00 ,17014.62,10.26
31159577235.00 ,6183.24,3.41
2192029636.00 ,952.25,0.61
2877686353.00 ,646.5,0.48
52463546654.00 ,18535.08,11.01
71626335175.00 ,109714.92,73.08
13439518394.00 ,453.86,0.43
11487104910.00 ,554.2,0.67
5780294559.00 ,11035.58,7.22
19313579255.00 ,747.15,0.7
16128492721.00 ,30760.64,20.73
224606400.00 ,5313.44,3.78
7955450863.00 ,1616.98,1.38
13311198474.00 ,10570.43,6.15
1290000000000.00 ,10078.6,5.5
314218068.00 ,2923.22,2.28
14441963153.00 ,4249.68,2.67
4867384311.00 ,7889.24,4.25
80971745.26 ,16461,10.37
19464182762.00 ,590.37,0.6
78243496114.00 ,1165.61,0.89
11187391527.00 ,4394.4,2.93
113944938.10 ,7861.68,7.97
32142056495.00 ,1083.22,0.68
894000000000.00 ,50546.79,39.4
8674478061.00 ,33190,21.31
14728776397.00 ,2119.4,1.44
14338070810.00 ,547.42,0.58
537000000000.00 ,2449.59,2.44
33024926.00 ,19646,14.71
11385896527.00 ,6217.95,3.61
435000000000.00 ,79434.63,56.23
15612500000.00 ,3099.96,2.19
402000000000.00 ,1696.96,1.26
210380701.90 ,12426.98,6.98
70310336412.00 ,15388.06,9.7
41995687742.00 ,6199.6,3.53
223000000000.00 ,6549.33,3.83
408000000000.00 ,3528.33,2.43
630000000000.00 ,17178.67,10.6
230000000000.00 ,22125.94,13.23
1740000000000.00 ,33690.38,19.63
9004000404.00 ,3581.72,2.02
232000000000.00 ,12131.74,7
1470000000000.00 ,10030.04,5.95
12933613305.00 ,939.73,1.03
1899495716.00 ,10988.97,5.9
798400813.90 ,3591.8,2.67
25302260864.00 ,1460.49,0.88
49711066842.00 ,7493.16,4.04
1869028599.00 ,16188.78,11.56
5405520319.00 ,626.9,0.46
102000000000.00 ,18898.04,11.79
53516808295.00 ,25349.76,15.6
1371062279.00 ,2084.35,1.3
9318808690.00 ,509.08,1.47
360000000000.00 ,6022.43,3.71
1320000000000.00 ,27702.75,17.83
88459606159.00 ,4035.65,2.23
87366859636.00 ,1025.32,1.33
587000000000.00 ,55894.16,38.51
790000000000.00 ,90057.04,57.69
13506343006.00 ,1356.32,1.15
72996133738.00 ,1057.74,0.8
450000000000.00 ,6275.93,3.34
2161456495.00 ,1611.47,1.3
8678325.00 ,6275,4.99
429814465.80 ,4356.77,3.27
50545993791.00 ,3917.63,2.52
45287366.27 ,3988.41,3.25
1190000000000.00 ,14055.11,7.93
40037968776.00 ,934.34,0.65
431000000000.00 ,45698.01,16.7
3210000000000.00 ,47343.47,31.96
21200000000000.00 ,63720.76,40.55
62821749989.00 ,18044.05,11.17
849180224.70 ,2521.26,2.73
107000000000.00 ,4569,2.12
359000000000.00 ,3658.69,1.99
140948640.00 ,12640,8.66
19294190426.00 ,1017.87,0.67
25726859630.00 ,1308.1,0.995521553
21572380483.00 ,1345.77,0.94
