gdp_USD,gdp_per_capita
1.79E+11,4602.58
3169418677,39720.95
338995314.7,35374
1554182042,17335.05
3458627345,32492.18
1.47E+12,60972.87
56596740227,5595.26
35898451123,24353.07
4671803290,16947.38
6754932033,112431.38
20253847565,6270.86
450000000,29150
1581000000,40561
40321363701,1441.79
5471266767,82929.3
2031155945,364.69
15038726476,593.77
1.79E+13,11560.24
3.19E+11,43283.02
22581085736,32503.6
81530000,24000
87500000,42365
83597276722,7449.68
2608023261,17391.62
14959023199,695.9
52172352271,528.79
3355697399,2968.25
535335895.3,7335.19
9836018452,5976.9
2398162847,739.7
221500000,69000
4932141138,5313.03
300000000,31500
5897361726,19262.61
15819437644,6637.07
3100000000,90000
2787816253,48514
78182161635,4504.13
13905832111,994.44
4.51E+12,36202.64
2.27E+11,11283.42
1.15E+11,27953.34
44922548009,10140.74
3.86E+11,11399.4
1.36E+11,3300.8
2.21E+11,42320.89
17800000,24678
86294519870,18856.88
1027000000,7500
24976660486,2462.55
2400000,18800
1.72E+11,63428.36
48000000,10693
963338595,20628.69
261300000,46200
884023023.7,8629.53
1601329076,45269.5
380778204.2,1395.16
7.67E+11,21478.82
3.80E+11,67948.89
1204334921,33305.63
6150387591,1025.3
4414017659,7141.96
19285167468,744.6
7886169809,886.27
21672732634,14155.17
37595619556,8489.72
870031490.9,20323.15
71983887488,2042.64
1.24E+11,3473.36
